# titre;groupes;users;steps;videos;comment;Musique
Lord Of The Dance;;cp;Lord%20Of%20The%20Dance.pdf;https://www.youtube.com/watch?v=c8se50YCHtw&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=37&t=7s;
Love ain't;;pc;;https://www.youtube.com/watch?v=ZW7LPFXqNUE;
Love Is A Cowboy;r;p;Love_Is_A_Cowboy.pdf;https://www.youtube.com/watch?v=fI2NlGsn_cM;(ntnr);Love Is A Cowboy - Kelsea Ballerini 
Love Me Like You;;c;Love%20Me%20Like%20You.pdf;https://www.youtube.com/watch?v=ORtzIeJ5S6s&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=57&t=41s;
Lucky Lips;dr;p;Lucky_Lips.pdf;https://www.youtube.com/watch?v=uJv5F4AY8Ac;(ntnr);Lucky Lips - The Conquerors
Lullaby Waltz;;c;Lullaby%20Waltz.pdf;https://www.youtube.com/watch?v=qPxz6OtRt0o&t=18s;
Majestic;;p;;https://www.youtube.com/watch?v=XRGrnDZEhFw&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=38&t=15s;(ntnr)
Make It;r;p;Make_It.pdf;https://www.youtube.com/watch?v=ke-Mdjp5X4U&t=8s;(t6);
Make No Promises;;;;https://www.youtube.com/watch?v=D6I_VzCF8aE&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=59&t=110s;
Mama And Me;r;;;https://www.youtube.com/watch?v=uodntdY5HYg&t=557s;3 tags différents
Mamma Maria;;cp;Mamma%20Maria.pdf;https://www.youtube.com/watch?v=NHO80qOpBxk&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=39&t=9s;
Mambo No5;;p;Mary%20Mary.pdf;https://www.youtube.com/watch?v=Pmc-RBTRl9c&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=40&t=168s;
Mary Mary;;p;;https://www.youtube.com/watch?v=LYBFTHETXU4&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=41&t=0s;
Mind Up;;;;https://www.youtube.com/watch?v=QyDGWdEXIi8&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=63&t=105s;
Misfit;;cp;;https://www.youtube.com/watch?v=ZBE0m9n6q4g&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=42&t=0s;
Mishnock Slide;;cp;;https://www.youtube.com/watch?v=1fe5WTFqo7k&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=43&t=0s;
Modern Romance;;;;https://www.youtube.com/watch?v=rY-DEA-wzVI
Money In My Pocket;;p;Money%20In%20My%20Pocket.pdf;https://www.youtube.com/watch?v=4SuBQOgM31w;(r1, r3)
My Angel And Me;;;;https://www.youtube.com/watch?v=LsdF8jSqoNc&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=66&t=93s;
My Bestie;;p;My%20Bestie.pdf;https://www.youtube.com/watch?fbclid=IwAR3jNjQBPgVsK0aZ3wEqEXAZT-PWgGoJTPKm77ZpOtsNXO_kmiomK-2J3M8&v=eOF63cOm6I4;(tag 1,3,4,6long)
My Bestie Baby;;c;My%20Bestie%20Baby.pdf;https://www.youtube.com/watch?v=ZSAL0yxWGQ8;(1,3,4,6)
My Wave;;cp;My%20Wave.pdf;https://www.youtube.com/watch?v=-1hvN8540vs&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=44&t=76s;
Nancy Mulligan;;p;;https://www.youtube.com/watch?v=TAl0jI7ugdY&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=45&t=7s;
No Last Call;;p;No_Last_Call.pdf;https://www.youtube.com/watch?v=cqniP10BqMA;(r3, r7)
No Lo Trates, No;;p;No%20Lo%20Trates%20No.pdf;https://www.youtube.com/watch?v=MIgi9xh2fMA&fbclid=IwAR3cPulCzTKOZQBzzomstf0Gm0YEHTDXGcDE29zayKQBXxQQtWt99xvUF44;
Nothing But You;;p;Nothing%20But%20You.pdf;https://www.youtube.com/watch?v=aFdKyX4Kx_s&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=46&t=112s;(r5)
Oceans Will Climb;;cp;Oceans%20Will%20Climb.pdf;https://www.youtube.com/watch?v=779j71KLT7o;(ntnr)
Oh Me Oh My Oh;;p;Oh%20Me%20Oh%20My%20Oh.pdf;https://www.youtube.com/watch?v=AzfgZHX-iHU&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=47&t=196s;
On A Roll;;;;https://www.youtube.com/watch?v=ShinX6QIJtc&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=72&t=247s;
On The Waves;;;On_The_Waves.pdf;https://www.youtube.com/watch?v=pjYdV2amJRk;(ntnr);Walking On The Wave de Shane Owens
One Last Shot;dr;;One_Last_Shot.pdf;https://www.youtube.com/watch?v=qB3t9nCl_sE;(ntnr);One las shot - Michael Daniels
One Life, One Love;;;;https://www.youtube.com/watch?v=uVjyfKGC7XY&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=73&t=54s;;Don't Let This Feeling Fade
Over The Moon;;cp;Over%20the%20moon.pdf;https://www.youtube.com/watch?v=nsWRlQ_kYc4&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=48&t=8s;
Paris Tennesee;;c;Paris%20Tennesee.pdf;https://www.youtube.com/watch?v=ynxGOdZPYrk;
Peppermint Twist;i;pc;Peppermint%20Twist.pdf;https://www.youtube.com/watch?v=q8jJ522vXqQ;(ntnr)
Pick Her Up;;p;Pick%20Her%20Up.pdf;https://www.youtube.com/watch?v=iL0gK4_35ts|https://www.youtube.com/watch?v=1NpHcNyjCYo;(r5)
